ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
192,46,23709.729908236885,0.007980788813496065,1,277,8632,1709,10064
193,42,37918.35721690427,0.017093791964558167,1,601,5580,1560,6539
194,39,25317.447068792473,0.2356016875142774,1,201,8323,1442,9564
195,47,54749.29929883633,0.1225784673024271,1,120,5325,1579,6784
196,34,25711.466951847135,0.2240152758354358,0,19,0,0,-19
197,22,25278.77786556304,0.040165430112733554,0,38,0,0,-38
198,25,21838.682136540105,0.16375719577555337,1,769,5303,1777,6311
199,57,30116.264644929433,0.019434700531707143,1,363,20642,2470,22749
200,20,89004.41075937964,0.24751962051263376,0,7,0,0,-7
201,64,24631.128177282753,0.03830352268083962,1,182,10604,1848,12270
202,43,29552.80556147572,0.14574315895807619,1,861,5530,4710,9379
203,57,20069.573331784046,0.1968877227335351,0,25,0,0,-25
204,52,27673.448776326506,0.08349289024151013,0,10,0,0,-10
205,19,42339.30299248687,0.27587394899029605,1,469,7652,1864,9047
206,33,21111.56746602311,0.08187613885162837,1,620,16201,1343,16924
207,38,23319.605200138973,0.273998602987872,0,146,0,0,-146
208,26,23743.188875605843,0.03382684745678764,1,261,5254,3306,8299
209,36,20575.17357680476,0.08571710350702308,0,11,0,0,-11
210,75,34539.96018894749,0.22711696977343207,1,1599,11706,1928,12035
211,43,22242.790428617685,0.06338049566124987,1,491,16368,1379,17256
212,29,38146.33738795965,0.08511217490858061,1,604,8564,1405,9365
213,50,36029.11891646089,0.138591694631559,1,185,9273,1669,10757
214,50,25268.757554681248,0.14348539184333345,1,196,5355,1559,6718
215,18,20258.864638390496,0.018846959511332195,1,272,6233,1451,7412
216,24,27929.237143359587,0.21695746771738914,0,6,0,0,-6
217,66,20919.90933376039,0.27783145802468817,1,36,6575,1584,8123
218,50,22059.018679995603,0.11798643078575613,1,859,6052,2191,7384
219,21,20773.968609595096,0.025787873652208915,1,306,5419,3007,8120
220,43,29683.24692270383,0.03841545466045927,1,273,5906,2313,7946
221,45,20944.318906047385,0.06565833930366717,1,247,6171,1581,7505
222,56,28786.571950874066,0.12807994470912304,1,56,5849,3349,9142
223,44,22796.71843275158,0.02477556526356488,1,148,5281,1443,6576
224,23,28307.13796486777,0.06655036394288516,1,610,6204,1661,7255
225,26,26729.084090440378,0.148748532439047,1,108,9620,1675,11187
226,75,52559.300287753984,0.3530683357172166,0,136,0,0,-136
227,26,21535.639436436177,0.09919973145650382,1,2134,11765,1533,11164
228,18,20690.07040009565,0.1572904684094349,1,925,18311,1678,19064
229,22,132599.06767114147,0.1367409747829861,0,12,0,0,-12
230,25,29475.90799451329,0.26363783860271867,0,128,0,0,-128
231,18,28498.32481500385,0.12548357695849122,1,369,12788,1616,14035
232,35,21009.463526526524,0.10288700473308295,1,583,5777,2426,7620
233,62,25276.5940263676,0.014795312029111014,1,694,9656,1370,10332
234,26,39956.1398430923,0.36619942992562254,1,285,7279,2031,9025
235,63,21052.160806427506,0.2705085348085809,0,165,0,0,-165
236,51,21503.737611573128,0.014252930944964904,1,661,10689,3026,13054
237,45,34879.51448449295,0.0056126297273002435,0,49,0,0,-49
238,50,20770.24363309083,0.11636061947282011,1,1581,7251,1848,7518
239,60,27612.632742278663,0.007699557955010782,1,190,5441,2058,7309
240,46,21447.64450053367,0.030470719161961556,1,565,6678,1762,7875
241,23,20630.9658838463,0.014753722020767275,1,666,5977,1424,6735
242,71,23794.040300989273,0.23131431901237456,0,4,0,0,-4
243,36,22589.568176291978,0.11660670257105711,0,51,0,0,-51
244,45,23904.051252900103,0.04335974604522003,0,92,0,0,-92
245,18,27047.732482921794,0.10581819491682434,1,625,8407,1633,9415
246,51,29101.468175678154,0.17776979959537076,1,449,7509,1870,8930
247,73,20948.970102589927,0.030934126096573155,1,1068,6532,1776,7240
248,61,21477.06344993544,0.05316035241897053,1,965,6345,1671,7051
249,25,31333.993505009155,0.03400311384523721,1,924,9028,1692,9796
250,73,26551.26366253387,0.10514602963912563,0,42,0,0,-42
251,70,21348.51264068236,0.2094670371936082,1,1452,20339,1757,20644
252,18,26268.04949513825,0.018885294799184202,1,560,7030,1890,8360
253,31,41892.874995192884,0.07680570563548261,1,150,22672,1388,23910
254,47,30261.31415508195,0.1775539410461032,0,79,0,0,-79
255,27,22756.19608941596,0.054457498470248215,1,862,9764,1646,10548
256,19,28259.29603020865,0.08680677378660331,1,1283,7645,1826,8188
257,73,31037.67588020503,0.40739007500381585,1,637,10428,1490,11281
258,58,20116.989100785977,0.10451030752436415,1,13,6414,1802,8203
259,51,21494.164829655612,0.022911001097930952,1,412,6387,1996,7971
260,37,20849.073166971273,0.15768980429899104,1,94,7666,1415,8987
261,39,39268.82698409713,0.01002377021836411,0,30,0,0,-30
262,20,55663.577934307745,0.10394663662833485,0,43,0,0,-43
263,45,26077.544661914915,0.042356007169352346,1,228,7821,1637,9230
264,18,26362.06585217568,0.08847322622149552,1,491,6854,1387,7750
265,21,23373.52495061144,0.11640937134662455,1,809,5724,1589,6504
266,61,33310.49408113981,0.20549167033799876,1,242,10195,5105,15058
267,44,21225.838940579975,0.0010063736969566288,1,206,11996,1614,13404
268,50,30892.692026331257,0.07793940416298772,0,44,0,0,-44
269,19,29103.964943210383,0.08730912555344833,1,153,5564,2630,8041
270,73,21564.33731628395,0.2755941325808983,1,405,6752,1711,8058
271,20,33200.933063223,0.08307859634003772,1,369,26764,1420,27815
272,45,28328.98124633446,0.1859274597730648,1,250,5476,3730,8956
273,35,20919.932772856315,0.28590021955027484,1,1543,17265,1335,17057
274,53,35962.78321701416,0.07500041881733455,1,176,5310,2240,7374
275,52,30921.53302054616,0.28360461990603725,1,388,6049,1812,7473
276,35,22650.83242410098,0.0028050748528073996,1,3136,10813,4215,11892
277,25,38757.76652597409,0.2860915533511568,1,302,5319,2141,7158
278,36,29073.973720337817,0.10750633050668738,1,258,9792,2590,12124
279,19,43627.77791507713,0.2579443200073958,1,316,5769,2318,7771
280,19,24119.048918031815,0.02370822270137073,0,120,0,0,-120
281,73,21414.0814233588,0.32180226200261464,0,8,0,0,-8
282,66,21222.758820837407,0.09561107643500698,0,4,0,0,-4
283,45,20791.24295962097,0.20834672189972034,1,1503,7965,1657,8119
284,44,34753.763461856135,0.2453099054098028,0,31,0,0,-31
285,29,21598.97235322197,0.11904936818229069,0,28,0,0,-28
286,36,20248.668602074296,0.07637676752865497,0,34,0,0,-34
287,35,33209.56073888914,0.25452848640203973,0,7,0,0,-7
288,72,20582.076183558507,0.36120236555161545,1,699,7665,1871,8837
289,50,20452.21447582029,0.07577617779539197,1,152,13736,1562,15146
290,37,93782.27680721799,0.18156203534422558,0,23,0,0,-23
291,26,34309.574512442145,0.28365977463060904,1,130,22982,1716,24568
292,50,34759.76009768426,0.1715762343505787,0,15,0,0,-15
293,31,47183.33489341305,0.01218651220956525,0,62,0,0,-62
294,41,33017.90405132646,0.0289487968247339,1,791,7930,5966,13105
295,57,32511.20786827271,0.19509339199471384,1,231,16201,1903,17873
296,68,35565.08261911561,0.2648162373211185,1,129,6823,1511,8205
297,73,20255.935716509575,0.1985908799704064,1,149,5737,1520,7108
298,56,25023.256359754392,0.13073450517045035,1,151,5455,1525,6829
299,69,21871.774043027097,0.056888735463325596,1,638,6419,2486,8267
300,43,20401.51916757969,0.14687768529504647,1,178,7467,2870,10159
301,19,29007.18958030668,0.12305920052050036,0,24,0,0,-24
302,37,28232.485564544837,0.38305122681963866,1,354,15373,1467,16486
303,19,44327.762743492494,0.012595144652589204,1,428,5732,1648,6952
304,30,40618.99567835481,0.2313788515019368,1,591,5440,1703,6552
305,23,23947.978196891007,0.009493676049358687,1,40,33957,2202,36119
306,31,25379.331367674724,0.06443730000255576,1,1298,34190,1445,34337
307,20,22297.339480602197,0.2199856983139027,1,647,8540,1553,9446
308,35,35629.17390041407,0.06135807434201301,1,158,7547,1347,8736
309,31,24763.55379851147,0.11335253270052115,1,482,11301,1336,12155
310,42,22918.99992844031,0.06730506795128753,1,747,14589,1402,15244
311,31,29980.07898019129,0.029097587144551348,1,301,19649,1786,21134
312,46,32072.333524959304,0.007478841246479561,1,1486,5764,1732,6010
313,48,56800.40208604741,0.2943951799357068,1,463,5453,6257,11247
314,36,21368.133661965512,0.02671879631564906,1,488,5609,2552,7673
315,68,21485.447447810355,0.07818028656416398,1,693,33931,2333,35571
316,20,24494.098677359554,0.04333330296313239,1,24,8446,1429,9851
317,54,47180.2369939835,0.1416448474996926,0,0,0,0,0
318,34,54066.06356677318,0.06609511575975248,1,158,6589,1744,8175
319,62,24801.94337502541,0.33328711369033126,0,75,0,0,-75
320,21,34930.00056236661,0.11576382214395195,1,495,8590,1493,9588
321,41,20593.338434719226,0.15042799313553834,0,279,0,0,-279
322,29,21663.40744642784,0.060863901168102634,1,328,17105,1507,18284
323,67,31819.508168668024,0.05992905787386392,1,469,8997,1583,10111
324,47,22813.754538660716,0.22337655644421994,1,274,14277,1367,15370
325,18,26335.129045919977,0.10745728596536616,1,535,5799,1466,6730
326,26,20064.982129799384,0.3481930085890984,0,86,0,0,-86
327,48,20541.69114522299,0.025229889606382984,1,1325,6565,1476,6716
328,65,20651.954171095404,0.09993808294596096,1,446,7152,1386,8092
329,18,38785.27688884712,0.2259268914348278,0,153,0,0,-153
330,54,30285.2677867608,0.24674877999097358,1,415,10374,4605,14564
331,25,21595.328600772504,0.018458350101074578,1,72,16997,4887,21812
332,19,20600.412260865218,0.09338120974658928,1,481,12641,1892,14052
333,51,33781.50532813668,0.11938901535683177,0,0,0,0,0
334,52,39319.428977382726,0.12470821285861718,1,94,10838,2299,13043
335,47,24639.13449499741,0.26373848599850197,1,213,16295,1429,17511
336,46,31699.56401131118,0.08100698426098564,1,297,12408,1599,13710
337,21,42298.24780897145,0.07644531051172712,1,602,6719,2126,8243
338,21,24996.83326542675,0.007667165540343837,1,1548,8256,2502,9210
339,46,21152.390378787648,0.010685719444021052,1,201,15831,1450,17080
340,62,22689.737886735824,0.0007221508061510086,0,43,0,0,-43
341,42,102457.14741150239,0.07683345698914956,1,144,5534,1872,7262
342,45,22671.83492738895,0.09568602707905674,1,231,10485,1688,11942
343,19,26226.603151115727,0.21969211485118245,1,98,8499,1921,10322
344,25,24959.03946735756,0.10045147800205052,1,329,6935,1669,8275
345,37,30330.858824178056,0.11930601405929324,1,186,63745,1513,65072
346,20,26151.176404748257,0.05451413229538873,1,980,13607,1954,14581
347,36,20200.52202502204,0.14092562812541082,1,1360,5458,1407,5505
348,56,24399.5727066383,0.013824965029608218,0,74,0,0,-74
349,33,22943.078417848916,0.19837706087390788,1,53,47464,1429,48840
350,36,84616.68473113271,0.43085781544453206,1,1275,10909,1525,11159
351,19,21184.85849672491,0.0004067023482585669,1,198,10430,1781,12013
352,29,62838.878218917256,0.25555418547887476,0,122,0,0,-122
353,45,56915.296584250325,0.3026551232468852,0,42,0,0,-42
354,30,23900.535384591603,0.048649880203142724,0,13,0,0,-13
355,19,26558.392784703552,0.04250682760413961,1,267,5518,1510,6761
356,37,35174.4604051475,0.017735658829723718,0,29,0,0,-29
357,64,21525.576745628136,0.016342764744085598,0,6,0,0,-6
358,56,24088.496521847257,0.14139784264055186,1,10,8606,1559,10155
359,47,35165.91498730909,0.07985566482314942,1,281,5566,1458,6743
360,67,30397.963491248473,0.024418705072702735,1,324,8438,4817,12931
361,35,20291.4772147282,0.38193034788248315,1,1704,17905,2078,18279
362,24,34005.46661212885,0.2863379265640538,1,610,6035,1586,7011
363,43,128805.11982804476,0.14590980519665026,0,123,0,0,-123
364,33,20833.701395476626,0.010475812446051504,0,18,0,0,-18
365,49,35861.93481219455,0.08131219153070772,1,1159,17511,1801,18153
366,20,28402.27557751322,0.0895066367883673,1,218,188462,2115,190359
367,66,22608.28623202298,0.22337247179266542,1,268,13938,1544,15214
368,28,20788.474234181867,0.05747870252876275,1,868,5787,1950,6869
369,21,22780.248084880885,0.01594079599178751,1,1200,8497,1352,8649
370,62,21314.929608396622,0.14289180689885586,1,573,5396,2111,6934
371,27,22130.416970353555,0.051452933020910106,0,34,0,0,-34
372,35,28363.920233505716,0.14274923237015863,1,200,25007,1338,26145
373,70,87282.81615951136,0.1234068876275198,1,1113,8013,2239,9139
374,68,21602.1262321487,0.027912419748437903,0,107,0,0,-107
375,31,29299.23663913576,0.046867430264547094,1,248,10708,1778,12238
376,36,20261.733907898782,0.12746810540958206,0,20,0,0,-20
377,23,25534.115776377745,0.295247208487159,0,94,0,0,-94
378,41,24374.824723777252,0.26139991223022396,0,72,0,0,-72
379,37,21236.052181315717,0.15071912584538513,1,341,8688,2028,10375
380,39,20135.546554814217,0.04202457586306909,1,238,5362,1637,6761
381,33,23183.462336255387,0.4426634929121225,1,227,5380,3157,8310
382,69,24525.66993600444,0.06797926705250576,1,416,6910,1552,8046
383,34,28078.65452979261,0.1119380975017182,1,116,10874,1583,12341
384,59,48107.2217535767,0.18212935141811828,1,923,16578,1977,17632
385,39,22020.433658568974,0.21433568769355643,1,117,14969,1623,16475
386,49,33732.16332560684,0.10726947238498696,0,8,0,0,-8
387,42,31358.48501508312,0.02160084790321943,1,674,7973,1582,8881
388,31,21222.333247344257,0.014085365567229254,1,158,8148,1440,9430
389,49,23170.539868322452,0.18091425089501717,0,72,0,0,-72
390,46,26271.60224164165,0.11442138763061911,1,430,5254,1988,6812
391,45,30138.193818392992,0.31264304398185516,0,111,0,0,-111
392,41,20944.320526304582,0.3160206627936404,0,1,0,0,-1
393,43,22310.44870319083,0.29534214667716985,0,45,0,0,-45
394,41,22286.81344700459,0.14589984521888127,1,698,6577,1597,7476
395,22,42658.68804460125,0.18626273069762475,0,5,0,0,-5
396,65,21037.299465403677,0.29997887806108825,1,816,15646,1766,16596
397,60,33150.99906368129,0.014518659444226768,1,438,8424,1436,9422
398,48,21184.85818834508,0.014852846525693426,1,546,5845,1425,6724
399,30,149002.76497051076,0.32547595862872264,0,45,0,0,-45
400,53,100784.64276837748,0.22586661000502614,1,152,10550,1448,11846
401,25,20060.339966238465,0.13025366484852488,1,633,8472,2547,10386
402,68,20678.73754023779,0.04844943556016364,1,299,9209,1556,10466
403,27,20483.38697632023,0.08963082868626039,0,51,0,0,-51
404,56,28582.084308228747,0.02591694727013962,1,98,9699,1491,11092
405,29,25452.223442551272,0.0797130721827696,1,49,5304,1414,6669
406,32,20151.69962657863,0.1553703157633963,1,35,5256,2403,7624
407,24,29425.632496892104,0.24100169852575162,1,848,23472,1531,24155
408,64,48847.54074165453,0.0638023851473004,1,504,28494,1486,29476
409,35,63567.41745181995,0.04688984869765959,1,72,9682,1629,11239
410,36,24669.258089117386,0.03569027356694604,1,382,6495,2709,8822
411,54,21138.47492163137,0.19922853259266513,0,0,0,0,0
412,62,22080.536669958256,0.07910670991455117,1,224,5848,1716,7340
413,71,24398.515657598033,0.09943875273704691,0,10,0,0,-10
