ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
157,1,1,308,1815,1507
158,1,0,2,0,-2
159,0,0,106,0,-106
160,1,0,3,0,-3
161,1,1,287,1294,1007
162,0,0,20,0,-20
163,1,0,154,0,-154
164,0,0,82,0,-82
165,1,1,302,1328,1026
166,0,0,41,0,-41
167,0,0,139,0,-139
168,0,0,96,0,-96
169,1,0,12,0,-12
170,0,0,132,0,-132
171,0,0,153,0,-153
172,1,1,382,1254,872
173,0,0,89,0,-89
174,1,1,173,1798,1625
175,0,0,68,0,-68
176,1,0,41,0,-41
177,1,0,66,0,-66
178,1,1,928,1428,500
179,0,0,77,0,-77
180,1,1,595,1526,931
181,1,1,221,2649,2428
182,1,0,56,0,-56
183,0,0,45,0,-45
184,0,0,3,0,-3
185,1,1,139,1671,1532
186,1,0,38,0,-38
187,1,0,18,0,-18
188,1,0,18,0,-18
189,0,0,43,0,-43
190,0,0,38,0,-38
191,1,0,138,0,-138
192,0,0,47,0,-47
193,0,0,0,0,0
194,1,1,209,1464,1255
195,0,0,75,0,-75
196,1,0,18,0,-18
197,0,0,34,0,-34
198,1,1,521,1557,1036
199,1,0,8,0,-8
200,0,0,21,0,-21
201,1,1,225,1217,992
202,1,1,394,1577,1183
203,0,0,67,0,-67
204,0,0,34,0,-34
205,1,0,57,0,-57
206,0,0,3,0,-3
207,0,0,0,0,0
208,1,1,63,1558,1495
209,0,0,16,0,-16
210,1,0,10,0,-10
211,1,1,581,1478,897
212,1,1,495,1466,971
213,0,0,58,0,-58
214,0,0,5,0,-5
215,0,0,101,0,-101
216,0,0,29,0,-29
217,0,0,0,0,0
218,1,0,107,0,-107
219,0,0,182,0,-182
220,0,0,35,0,-35
221,1,1,312,1250,938
222,1,1,295,1385,1090
223,1,1,607,1717,1110
224,1,0,3,0,-3
225,1,1,53,1233,1180
226,0,0,173,0,-173
227,0,0,16,0,-16
228,1,1,514,1246,732
229,1,0,30,0,-30
230,0,0,5,0,-5
231,0,0,54,0,-54
232,1,1,225,1242,1017
233,0,0,18,0,-18
234,0,0,18,0,-18
235,0,0,247,0,-247
236,0,0,8,0,-8
237,1,0,42,0,-42
238,1,1,677,1494,817
239,0,0,1,0,-1
240,0,0,68,0,-68
241,1,1,762,1438,676
242,1,0,120,0,-120
243,1,0,36,0,-36
244,1,1,160,1439,1279
245,0,0,112,0,-112
246,0,0,32,0,-32
247,1,1,237,1255,1018
248,0,0,30,0,-30
249,0,0,33,0,-33
250,1,0,68,0,-68
251,0,0,17,0,-17
252,0,0,90,0,-90
253,0,0,67,0,-67
254,0,0,6,0,-6
255,1,1,620,1315,695
256,1,0,7,0,-7
257,0,0,76,0,-76
258,0,0,0,0,0
259,0,0,1,0,-1
260,1,1,128,1766,1638
261,1,1,128,1603,1475
262,1,1,568,2011,1443
263,1,0,6,0,-6
264,0,0,20,0,-20
265,1,1,54,2652,2598
266,1,0,40,0,-40
267,1,0,6,0,-6
268,1,0,86,0,-86
269,1,1,143,1770,1627
270,1,1,496,1525,1029
271,0,0,30,0,-30
272,0,0,17,0,-17
273,1,1,283,1589,1306
274,1,1,211,1432,1221
275,1,0,114,0,-114
276,0,0,18,0,-18
277,1,0,20,0,-20
278,1,0,23,0,-23
279,0,0,11,0,-11
280,1,0,2,0,-2
281,0,0,16,0,-16
282,1,1,1630,1987,357
283,1,1,261,1573,1312
284,1,0,60,0,-60
285,0,0,2,0,-2
286,0,0,4,0,-4
287,1,0,150,0,-150
288,1,1,1395,1298,-97
289,0,0,19,0,-19
290,1,0,203,0,-203
291,1,0,8,0,-8
292,1,0,16,0,-16
293,1,1,46,1452,1406
294,1,1,764,1435,671
295,1,1,350,1434,1084
296,1,1,1114,1800,686
297,0,0,39,0,-39
298,1,0,21,0,-21
299,1,1,656,1715,1059
300,1,1,139,1200,1061
301,1,0,37,0,-37
302,0,0,86,0,-86
303,0,0,133,0,-133
304,0,0,74,0,-74
305,1,1,445,1315,870
306,1,0,60,0,-60
307,1,1,743,1213,470
308,0,0,92,0,-92
309,0,0,13,0,-13
310,1,0,21,0,-21
311,0,0,10,0,-10
312,1,0,7,0,-7
313,0,0,4,0,-4
314,1,0,93,0,-93
315,1,0,91,0,-91
316,0,0,49,0,-49
317,1,0,44,0,-44
318,1,0,56,0,-56
319,1,1,119,1797,1678
320,0,0,54,0,-54
321,1,0,43,0,-43
322,1,1,493,3556,3063
323,0,0,41,0,-41
324,0,0,50,0,-50
325,0,0,24,0,-24
326,1,0,12,0,-12
327,0,0,30,0,-30
328,1,0,81,0,-81
329,0,0,57,0,-57
330,1,0,79,0,-79
331,0,0,2,0,-2
332,1,0,16,0,-16
333,0,0,13,0,-13
334,1,0,102,0,-102
335,0,0,15,0,-15
336,1,0,37,0,-37
337,1,1,609,1307,698
338,0,0,125,0,-125
339,0,0,32,0,-32
340,0,0,19,0,-19
341,1,0,15,0,-15
342,1,0,2,0,-2
343,1,0,8,0,-8
344,1,1,318,1431,1113
345,0,0,16,0,-16
346,1,0,34,0,-34
347,1,0,120,0,-120
348,0,0,35,0,-35
349,0,0,15,0,-15
350,0,0,33,0,-33
351,0,0,124,0,-124
352,1,0,26,0,-26
353,1,0,47,0,-47
354,1,1,916,1304,388
355,0,0,12,0,-12
356,1,1,19,1424,1405
357,0,0,28,0,-28
358,0,0,26,0,-26
359,1,0,3,0,-3
360,1,0,17,0,-17
361,1,1,275,1291,1016
362,0,0,30,0,-30
363,0,0,216,0,-216
364,1,1,587,1580,993
365,0,0,16,0,-16
366,0,0,64,0,-64
367,0,0,1,0,-1
368,1,0,6,0,-6
369,0,0,100,0,-100
370,1,0,9,0,-9
371,0,0,2,0,-2
372,1,1,1215,1217,2
373,1,0,50,0,-50
374,1,1,53,1283,1230
375,1,0,21,0,-21
376,0,0,55,0,-55
377,1,0,2,0,-2
378,0,0,42,0,-42
379,1,1,412,1672,1260
380,1,0,248,0,-248
381,1,1,109,1310,1201
382,1,0,1,0,-1
383,1,0,91,0,-91
384,1,1,729,1864,1135
385,1,0,25,0,-25
386,1,1,79,1520,1441
387,1,0,80,0,-80
388,0,0,61,0,-61
389,1,0,34,0,-34
390,0,0,25,0,-25
391,1,0,100,0,-100
392,1,0,126,0,-126
393,1,1,252,1517,1265
394,1,1,800,1330,530
395,1,1,1626,1945,319
396,1,1,495,1214,719
397,0,0,43,0,-43
398,1,1,157,1854,1697
399,1,1,199,1342,1143
400,0,0,18,0,-18
401,1,0,32,0,-32
402,1,1,610,1332,722
403,1,0,119,0,-119
404,1,1,175,1868,1693
405,0,0,75,0,-75
406,1,0,9,0,-9
407,1,1,66,4169,4103
408,1,1,1060,1318,258
409,0,0,23,0,-23
410,1,0,5,0,-5
411,0,0,15,0,-15
412,0,0,86,0,-86
413,1,1,38,1654,1616
414,1,1,302,1357,1055
415,1,0,27,0,-27
416,1,0,84,0,-84
417,1,0,72,0,-72
418,1,1,711,1237,526
419,1,1,1641,1219,-422
420,0,0,3,0,-3
421,1,1,123,1366,1243
422,1,1,512,1204,692
423,1,0,23,0,-23
424,0,0,89,0,-89
425,1,1,1574,1235,-339
426,1,1,87,2129,2042
427,1,0,25,0,-25
428,0,0,4,0,-4
429,0,0,9,0,-9
430,1,1,758,1571,813
431,1,0,60,0,-60
432,0,0,70,0,-70
433,1,0,17,0,-17
434,1,1,1130,1348,218
435,0,0,19,0,-19
436,1,0,26,0,-26
437,1,0,9,0,-9
438,1,1,195,1485,1290
439,0,0,31,0,-31
440,1,1,114,1427,1313
441,1,1,218,1324,1106
442,1,1,965,1205,240
443,1,1,238,1814,1576
444,0,0,25,0,-25
445,1,0,23,0,-23
446,1,0,55,0,-55
447,1,1,34,1242,1208
448,1,1,237,1424,1187
449,0,0,51,0,-51
450,1,0,28,0,-28
451,1,0,11,0,-11
452,1,1,2134,6146,4012
453,1,0,1,0,-1
454,1,0,14,0,-14
455,1,0,2,0,-2
456,1,0,9,0,-9
457,1,1,174,1390,1216
458,0,0,28,0,-28
459,0,0,0,0,0
460,1,1,602,1269,667
461,1,0,12,0,-12
462,0,0,30,0,-30
463,1,1,275,1274,999
464,0,0,6,0,-6
465,1,0,24,0,-24
466,0,0,27,0,-27
467,0,0,18,0,-18
468,1,1,417,1643,1226
469,0,0,13,0,-13
470,1,1,612,1331,719
471,1,0,41,0,-41
472,1,0,36,0,-36
473,1,1,289,1638,1349
474,0,0,152,0,-152
475,1,1,1238,1426,188
476,0,0,13,0,-13
477,1,1,1367,1498,131
478,0,0,12,0,-12
479,1,1,535,1362,827
480,0,0,2,0,-2
481,1,1,219,1265,1046
482,1,0,30,0,-30
483,1,1,356,1541,1185
484,1,0,32,0,-32
485,1,1,504,1220,716
486,0,0,2,0,-2
487,1,0,93,0,-93
488,1,1,509,1501,992
489,0,0,14,0,-14
490,1,0,23,0,-23
491,1,0,48,0,-48
492,1,1,647,1370,723
493,1,1,326,1536,1210
494,1,0,9,0,-9
495,0,0,18,0,-18
496,0,0,60,0,-60
497,1,1,108,1276,1168
498,1,1,1214,1950,736
499,1,1,552,1518,966
500,1,1,69,1226,1157
501,0,0,18,0,-18
502,1,1,373,1222,849
503,1,0,34,0,-34
504,0,0,33,0,-33
505,1,1,233,1284,1051
506,1,1,109,1545,1436
507,1,0,37,0,-37
508,1,0,9,0,-9
509,1,0,64,0,-64
510,1,0,44,0,-44
511,0,0,0,0,0
512,1,1,302,2559,2257
513,0,0,75,0,-75
514,1,0,146,0,-146
515,1,1,91,2425,2334
516,1,0,18,0,-18
517,1,1,82,1319,1237
518,1,0,86,0,-86
519,1,0,17,0,-17
520,1,1,237,2235,1998
521,0,0,69,0,-69
522,1,0,215,0,-215
523,1,0,65,0,-65
524,1,1,719,1361,642
525,1,0,31,0,-31
526,1,1,1351,1843,492
527,0,0,73,0,-73
528,1,1,327,1324,997
529,0,0,2,0,-2
530,0,0,106,0,-106
531,0,0,21,0,-21
532,0,0,10,0,-10
533,0,0,122,0,-122
534,0,0,24,0,-24
535,1,1,1281,2573,1292
536,0,0,25,0,-25
537,1,0,14,0,-14
538,0,0,101,0,-101
539,0,0,36,0,-36
540,0,0,9,0,-9
541,1,1,900,2420,1520
542,1,1,238,1397,1159
543,1,0,130,0,-130
544,1,0,7,0,-7
545,0,0,190,0,-190
546,1,1,1128,1289,161
547,0,0,3,0,-3
548,0,0,9,0,-9
549,0,0,29,0,-29
550,1,1,103,1226,1123
551,1,0,102,0,-102
552,1,1,91,2289,2198
553,1,0,2,0,-2
554,1,1,118,1222,1104
555,1,1,152,1823,1671
556,1,1,2010,1836,-174
557,1,0,7,0,-7
558,1,0,82,0,-82
559,1,0,43,0,-43
560,0,0,14,0,-14
561,1,1,959,1226,267
562,1,1,278,1907,1629
563,0,0,3,0,-3
564,0,0,52,0,-52
565,1,0,11,0,-11
566,1,1,932,2040,1108
567,1,1,755,1878,1123
568,0,0,1,0,-1
569,0,0,154,0,-154
570,1,0,61,0,-61
571,1,1,660,1390,730
572,0,0,20,0,-20
573,0,0,56,0,-56
574,1,0,16,0,-16
575,0,0,2,0,-2
576,0,0,22,0,-22
577,0,0,7,0,-7
578,0,0,50,0,-50
579,1,1,549,1290,741
580,0,0,8,0,-8
581,0,0,42,0,-42
582,1,1,712,1495,783
583,1,1,502,2020,1518
584,1,0,41,0,-41
585,1,1,396,1267,871
586,1,1,540,2409,1869
587,1,0,36,0,-36
588,0,0,69,0,-69
589,0,0,10,0,-10
590,1,1,638,1333,695
591,1,0,347,0,-347
592,0,0,24,0,-24
593,1,1,164,1254,1090
594,0,0,133,0,-133
595,0,0,39,0,-39
596,0,0,126,0,-126
597,1,1,304,1205,901
598,1,1,335,1322,987
599,0,0,96,0,-96
600,0,0,15,0,-15
601,1,1,146,1276,1130
602,1,1,541,1568,1027
603,1,0,14,0,-14
604,1,0,30,0,-30
605,1,0,20,0,-20
606,1,0,34,0,-34
607,1,0,2,0,-2
608,1,0,117,0,-117
609,1,1,361,2067,1706
610,0,0,2,0,-2
611,1,0,49,0,-49
612,0,0,82,0,-82
613,1,0,22,0,-22
614,1,1,370,1213,843
615,1,0,22,0,-22
616,1,1,860,1292,432
617,1,0,29,0,-29
618,1,0,43,0,-43
619,1,0,52,0,-52
620,0,0,47,0,-47
621,0,0,11,0,-11
622,1,1,715,2678,1963
623,1,1,527,1328,801
624,0,0,34,0,-34
625,1,1,150,1389,1239
626,1,1,303,1387,1084
627,1,0,116,0,-116
628,1,0,13,0,-13
629,1,1,154,3142,2988
630,1,1,292,1476,1184
631,1,0,5,0,-5
632,1,0,11,0,-11
633,1,0,1,0,-1
634,1,0,22,0,-22
635,1,0,28,0,-28
636,1,0,317,0,-317
637,1,1,151,1282,1131
638,1,0,147,0,-147
639,0,0,40,0,-40
640,1,0,4,0,-4
641,0,0,65,0,-65
642,1,1,902,1464,562
643,0,0,134,0,-134
644,1,0,62,0,-62
645,1,0,53,0,-53
646,1,1,382,1291,909
647,0,0,122,0,-122
648,0,0,7,0,-7
649,0,0,236,0,-236
650,1,0,11,0,-11
651,0,0,54,0,-54
652,0,0,8,0,-8
653,1,0,50,0,-50
654,0,0,29,0,-29
655,1,1,245,2359,2114
656,0,0,134,0,-134
657,1,1,417,1288,871
658,1,1,120,1220,1100
659,1,0,24,0,-24
660,0,0,100,0,-100
661,1,0,31,0,-31
662,0,0,40,0,-40
663,0,0,39,0,-39
664,0,0,56,0,-56
665,1,1,689,1286,597
666,0,0,73,0,-73
667,0,0,85,0,-85
668,1,1,386,1483,1097
669,0,0,62,0,-62
670,1,0,9,0,-9
671,1,0,6,0,-6
672,0,0,67,0,-67
673,0,0,182,0,-182
674,1,0,150,0,-150
675,1,0,26,0,-26
676,0,0,26,0,-26
677,0,0,12,0,-12
678,0,0,43,0,-43
679,0,0,78,0,-78
680,1,1,277,1724,1447
681,0,0,24,0,-24
682,1,1,124,1283,1159
683,0,0,100,0,-100
684,1,0,61,0,-61
685,1,1,333,1909,1576
686,0,0,9,0,-9
687,1,1,669,1279,610
688,1,1,478,1415,937
689,1,0,102,0,-102
690,1,1,131,1508,1377
691,1,0,41,0,-41
692,0,0,10,0,-10
693,0,0,141,0,-141
694,1,1,770,1645,875
695,1,1,488,1345,857
696,0,0,71,0,-71
697,0,0,61,0,-61
698,1,1,183,1353,1170
699,0,0,27,0,-27
700,0,0,146,0,-146
701,0,0,14,0,-14
702,0,0,7,0,-7
703,1,0,3,0,-3
704,0,0,1,0,-1
705,1,1,104,1502,1398
706,0,0,8,0,-8
707,1,0,62,0,-62
708,0,0,1,0,-1
709,1,1,404,1313,909
710,1,1,664,2456,1792
711,1,1,99,1400,1301
712,0,0,114,0,-114
713,1,0,7,0,-7
714,1,0,29,0,-29
715,1,1,894,1209,315
716,0,0,33,0,-33
717,1,0,33,0,-33
718,1,1,518,1334,816
719,1,1,203,1397,1194
720,0,0,3,0,-3
721,0,0,6,0,-6
722,1,1,1367,1774,407
723,0,0,4,0,-4
724,1,0,150,0,-150
725,1,0,0,0,0
726,1,0,48,0,-48
727,1,1,524,2822,2298
728,1,0,7,0,-7
729,0,0,13,0,-13
730,1,1,645,1928,1283
731,1,1,170,1650,1480
732,1,0,6,0,-6
733,1,1,382,1397,1015
734,1,1,128,2105,1977
735,1,0,18,0,-18
736,1,1,357,1243,886
737,0,0,83,0,-83
738,1,0,0,0,0
739,0,0,15,0,-15
740,0,0,6,0,-6
741,1,0,5,0,-5
742,1,1,810,1877,1067
743,1,1,283,1971,1688
744,1,1,196,1493,1297
745,0,0,40,0,-40
746,0,0,0,0,0
747,0,0,5,0,-5
748,0,0,77,0,-77
749,0,0,68,0,-68
750,0,0,110,0,-110
751,1,0,192,0,-192
752,1,0,51,0,-51
753,1,0,11,0,-11
754,1,0,4,0,-4
755,0,0,66,0,-66
756,0,0,38,0,-38
757,0,0,86,0,-86
758,0,0,5,0,-5
759,0,0,46,0,-46
760,0,0,84,0,-84
761,1,0,49,0,-49
762,1,0,4,0,-4
763,0,0,14,0,-14
764,1,0,61,0,-61
765,0,0,8,0,-8
766,1,1,424,1503,1079
767,1,1,331,1486,1155
768,1,1,59,1537,1478
769,0,0,80,0,-80
770,1,0,87,0,-87
771,0,0,29,0,-29
772,1,1,274,1680,1406
773,1,0,76,0,-76
774,1,0,33,0,-33
775,0,0,63,0,-63
776,1,0,50,0,-50
777,1,0,2,0,-2
778,0,0,66,0,-66
779,1,1,341,1270,929
780,1,0,7,0,-7
781,0,0,83,0,-83
782,0,0,45,0,-45
783,0,0,60,0,-60
784,1,1,668,1555,887
785,1,0,121,0,-121
786,1,0,33,0,-33
787,0,0,31,0,-31
788,0,0,69,0,-69
789,0,0,84,0,-84
790,1,1,52,1975,1923
791,1,1,115,1266,1151
792,1,0,82,0,-82
793,0,0,79,0,-79
794,0,0,1,0,-1
795,1,0,15,0,-15
796,1,0,45,0,-45
797,1,1,926,1429,503
798,1,1,144,1404,1260
799,0,0,36,0,-36
800,0,0,55,0,-55
801,0,0,20,0,-20
802,1,0,2,0,-2
803,0,0,29,0,-29
804,1,1,451,1477,1026
805,0,0,5,0,-5
806,0,0,114,0,-114
807,0,0,15,0,-15
808,0,0,67,0,-67
809,1,0,9,0,-9
810,0,0,3,0,-3
811,0,0,40,0,-40
812,0,0,129,0,-129
813,1,1,615,1419,804
814,1,1,199,1250,1051
815,1,0,44,0,-44
816,1,1,334,1244,910
817,1,1,402,1684,1282
818,0,0,15,0,-15
819,1,0,9,0,-9
820,1,0,25,0,-25
821,0,0,34,0,-34
822,1,0,108,0,-108
823,0,0,4,0,-4
824,0,0,30,0,-30
825,0,0,132,0,-132
826,0,0,114,0,-114
827,0,0,117,0,-117
828,0,0,53,0,-53
829,1,1,62,1264,1202
830,0,0,113,0,-113
831,0,0,130,0,-130
832,1,0,5,0,-5
833,1,0,77,0,-77
834,0,0,60,0,-60
835,0,0,17,0,-17
836,0,0,37,0,-37
837,1,1,143,2343,2200
838,0,0,21,0,-21
839,1,0,19,0,-19
840,0,0,20,0,-20
841,0,0,52,0,-52
842,0,0,3,0,-3
843,1,1,204,1297,1093
844,1,0,13,0,-13
845,0,0,49,0,-49
846,0,0,22,0,-22
847,0,0,20,0,-20
848,0,0,77,0,-77
849,1,1,608,1334,726
850,0,0,7,0,-7
851,0,0,3,0,-3
852,0,0,0,0,0
853,0,0,85,0,-85
854,0,0,86,0,-86
855,1,1,1421,1269,-152
856,0,0,9,0,-9
857,1,0,11,0,-11
858,0,0,85,0,-85
859,0,0,3,0,-3
860,1,1,328,1614,1286
861,1,0,126,0,-126
862,0,0,25,0,-25
863,1,0,125,0,-125
864,1,0,171,0,-171
865,0,0,17,0,-17
866,1,0,114,0,-114
867,1,0,205,0,-205
868,0,0,72,0,-72
869,1,0,62,0,-62
870,0,0,31,0,-31
871,1,0,46,0,-46
872,1,0,31,0,-31
873,0,0,171,0,-171
874,1,0,74,0,-74
875,0,0,56,0,-56
876,0,0,22,0,-22
877,1,0,25,0,-25
878,0,0,28,0,-28
879,0,0,32,0,-32
880,1,0,65,0,-65
881,1,1,746,2037,1291
882,1,1,294,2471,2177
883,0,0,44,0,-44
884,0,0,44,0,-44
885,1,0,57,0,-57
886,1,1,248,1673,1425
887,0,0,0,0,0
888,1,0,87,0,-87
889,1,1,216,1348,1132
890,1,1,324,1274,950
891,1,1,341,1270,929
892,0,0,2,0,-2
893,1,1,288,1381,1093
894,1,1,581,1322,741
895,1,0,27,0,-27
896,1,0,71,0,-71
897,1,1,204,1299,1095
898,1,1,26,1227,1201
899,1,1,223,1333,1110
900,1,0,396,0,-396
901,1,0,6,0,-6
902,1,1,1330,1335,5
903,1,0,21,0,-21
904,0,0,66,0,-66
905,1,1,26,1920,1894
906,0,0,16,0,-16
907,0,0,1,0,-1
908,1,1,346,1322,976
909,0,0,21,0,-21
910,1,0,4,0,-4
911,1,1,333,1301,968
912,0,0,6,0,-6
913,1,1,24,1738,1714
914,1,1,101,1314,1213
915,1,0,92,0,-92
916,0,0,74,0,-74
917,1,0,74,0,-74
918,1,1,343,1388,1045
919,0,0,4,0,-4
920,0,0,21,0,-21
921,0,0,32,0,-32
922,1,1,571,1244,673
923,0,0,55,0,-55
924,1,1,136,1397,1261
925,1,0,29,0,-29
926,1,1,888,1766,878
927,1,0,79,0,-79
928,1,0,18,0,-18
929,1,1,568,1288,720
930,1,1,207,1534,1327
931,1,0,29,0,-29
932,1,0,17,0,-17
933,1,0,226,0,-226
934,1,0,0,0,0
935,0,0,25,0,-25
936,0,0,48,0,-48
937,0,0,7,0,-7
938,1,1,1073,1296,223
939,0,0,196,0,-196
940,0,0,75,0,-75
941,1,0,45,0,-45
942,0,0,136,0,-136
943,0,0,25,0,-25
944,1,0,4,0,-4
945,1,0,54,0,-54
946,0,0,91,0,-91
947,0,0,4,0,-4
948,1,1,793,1216,423
949,1,0,135,0,-135
950,1,0,26,0,-26
951,1,0,36,0,-36
952,1,1,36,1420,1384
953,1,0,7,0,-7
954,1,0,12,0,-12
955,1,1,396,1725,1329
956,0,0,4,0,-4
957,1,0,34,0,-34
958,1,1,290,1694,1404
959,0,0,121,0,-121
960,0,0,59,0,-59
961,1,0,33,0,-33
962,0,0,99,0,-99
963,1,1,586,1268,682
964,1,1,302,1203,901
965,1,0,1,0,-1
966,1,0,26,0,-26
967,0,0,20,0,-20
968,0,0,40,0,-40
969,0,0,115,0,-115
970,0,0,13,0,-13
971,0,0,5,0,-5
972,1,1,218,1336,1118
973,1,1,91,1496,1405
974,0,0,96,0,-96
975,0,0,1,0,-1
976,0,0,67,0,-67
977,0,0,0,0,0
978,1,0,28,0,-28
979,1,0,53,0,-53
980,0,0,7,0,-7
981,0,0,44,0,-44
982,0,0,13,0,-13
983,0,0,26,0,-26
984,0,0,122,0,-122
985,1,1,94,1217,1123
986,1,0,15,0,-15
987,0,0,13,0,-13
988,1,1,1025,1794,769
989,0,0,94,0,-94
990,1,0,5,0,-5
991,1,1,572,1206,634
992,0,0,52,0,-52
993,0,0,43,0,-43
994,1,0,115,0,-115
995,0,0,4,0,-4
996,1,1,189,1345,1156
997,1,1,272,1420,1148
998,0,0,20,0,-20
999,1,1,360,1240,880
1000,0,0,100,0,-100
1001,1,1,348,1372,1024
1002,0,0,13,0,-13
1003,1,0,37,0,-37
1004,1,0,43,0,-43
1005,0,0,45,0,-45
1006,0,0,0,0,0
1007,0,0,50,0,-50
1008,1,0,6,0,-6
1009,1,1,132,1284,1152
1010,1,0,35,0,-35
1011,1,0,103,0,-103
1012,0,0,127,0,-127
1013,1,1,203,1273,1070
1014,1,0,56,0,-56
1015,1,0,45,0,-45
1016,0,0,5,0,-5
1017,1,1,82,1956,1874
1018,0,0,23,0,-23
1019,1,1,414,1200,786
1020,1,0,19,0,-19
1021,1,0,49,0,-49
1022,1,1,288,1273,985
1023,1,0,80,0,-80
1024,1,0,9,0,-9
1025,0,0,2,0,-2
1026,1,0,33,0,-33
1027,1,0,66,0,-66
1028,1,0,2,0,-2
1029,1,0,8,0,-8
1030,1,1,1751,1323,-428
1031,1,1,105,1948,1843
1032,0,0,39,0,-39
1033,0,0,15,0,-15
1034,0,0,97,0,-97
1035,1,0,42,0,-42
1036,1,0,91,0,-91
1037,1,1,441,1737,1296
1038,1,0,1,0,-1
1039,1,0,54,0,-54
1040,1,0,22,0,-22
1041,1,1,119,2121,2002
1042,0,0,2,0,-2
1043,1,1,865,1286,421
1044,0,0,4,0,-4
1045,0,0,2,0,-2
1046,1,0,99,0,-99
1047,1,1,452,1387,935
1048,1,0,69,0,-69
1049,1,0,61,0,-61
1050,1,0,8,0,-8
1051,1,1,339,1209,870
